Name,Type,Gender,URL
Scarlett Johansson,Actress,female,https://www.google.com/search?q=scarlett+johansson&tbas=0&biw=1536&bih=810&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Jennie,Singer,female,https://www.google.com/search?q=jennie&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=TJFCY7XEAZyr3LUPqM2ToAo&ved=0ahUKEwi1mrns59L6AhWcFbcAHajmBKQQ4dUDCA0&uact=5&oq=jennie&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIICAAQsQMQkQIyCwgAELEDEIMBEJECMggIABCABBCxAzILCAAQgAQQsQMQgwEyCAgAELEDEIMBMggIABCABBCxAzIICAAQgAQQsQMyCwgAEIAEELEDEIMBMgUIABCABDIICAAQsQMQgwE6BQgAEJECUJ0FWOoFYPwGaABwAHgAgAF-iAGJApIBAzIuMZgBAKABAcABAQ&sclient=gws-wiz-news
Dwayne Johnson,Actor,male,https://www.google.com/search?q=dwayne+johnson&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=ZZFCY9yYDI6C3LUPlqGFqA4&oq=dw&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgoIABCxAxCDARBDMgoIABCxAxCDARBDMgsIABCABBCxAxCDATIICAAQgAQQsQMyCwgAEIAEELEDEIMBMggIABCABBCxAzIICAAQgAQQsQMyCwgAEIAEELEDEIMBMgsIABCABBCxAxCDATIICAAQgAQQsQM6CAgAELEDEIMBOgUIABCABDoHCAAQgAQQCjoNCAAQgAQQsQMQgwEQClAAWMMKYPgQaANwAHgAgAFGiAGzApIBATWYAQCgAQHAAQE&sclient=gws-wiz-news
Robert Downey JR,Actor,male,https://www.google.com/search?q=robert+downey+jr&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=CpJCY-bcK-S43LUPjqiC-AY&oq=robert+&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgoIABCxAxCDARBDMgcIABCxAxBDMgoIABCxAxCDARBDMgcIABCxAxBDMgoIABCxAxCDARBDMgcIABCxAxBDMgoIABCxAxCDARBDMgcIABCxAxBDMgUIABCABDIFCAAQgAQ6BAgAEEM6CwgAEIAEELEDEIMBOggIABCABBCxAzoICAAQsQMQgwFQAFicBmDvDWgAcAB4AIABOogB4wKSAQE3mAEAoAEBwAEB&sclient=gws-wiz-news
Ariana Grande,Singer,female,https://www.google.com/search?q=ariana+grande&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=HJJCY7XgMuqsz7sPkreMiAc&oq=arina+&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgoIABCxAxCDARBDMgcIABCxAxBDMg0IABCABBCxAxCDARAKMg0IABCABBCxAxCDARAKMgoIABCABBCxAxAKMg0IABCABBCxAxCDARAKMggIABCxAxCDATIECAAQQzIECAAQQzIECAAQQzoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgUIABCABFAAWM0FYL4OaABwAHgAgAFLiAHnApIBATaYAQCgAQHAAQE&sclient=gws-wiz-news
Armando Christian Perez (Pitbull),Singer,male,https://www.google.com/search?q=armando+christian+perez&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=apJCY__SNPqA3LUP_cqW-Aw&oq=arman&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgQIABBDMgoIABCxAxCDARBDMgsIABCABBCxAxCDATILCAAQgAQQsQMQgwEyCwgAEIAEELEDEIMBMgsIABCABBCxAxCDATILCAAQgAQQsQMQgwEyCwgAEIAEELEDEIMBMgsIABCABBCxAxCDATILCAAQgAQQsQMQgwE6CAgAELEDEIMBOggIABCABBCxAzoHCAAQsQMQQ1AAWKIEYIQTaABwAHgAgAE9iAGgApIBATWYAQCgAQHAAQE&sclient=gws-wiz-news
Avril Lavigne,Singer,female,https://www.google.com/search?q=avril+lavigne&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=eZJCY_vjJ-OV3LUPyYG6mA4&oq=AVR&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgcIABCxAxBDMgsIABCABBCxAxCDATIFCAAQgAQyBAgAEEMyBAgAEEMyBAgAEEMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEOggIABCxAxCDAToICAAQgAQQsQM6CAgAELEDEJECOgsIABCxAxCDARCRAlCwGFiFJWCvMGgCcAB4AIABR4gB1gKSAQE2mAEAoAEBsAEAwAEB&sclient=gws-wiz-news
Hailey Bieber,Model,female,https://www.google.com/search?q=hailey+bieber&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=m5JCY_PBO9eY3LUPyqm-iA4&oq=haile&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgCMgoIABCxAxCDARBDMgcIABCxAxBDMgoIABCxAxCDARBDMggIABCABBCxAzILCAAQgAQQsQMQgwEyBAgAEAMyBAgAEAMyBQgAEIAEMgUIABCABDIFCAAQgAQ6CAgAELEDEIMBOgQIABBDUABY7QNgzxJoAHAAeACAATuIAYwCkgEBNZgBAKABAcABAQ&sclient=gws-wiz-news
Lionel Messi,Sports,male,https://www.google.com/search?q=lionel+messi&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=sJJCY6CqHI_A3LUP24eu8Aw&ved=0ahUKEwigwrSW6dL6AhUPILcAHduDC84Q4dUDCA0&uact=5&oq=lionel+messi&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIKCAAQsQMQgwEQQzIECAAQQzIECAAQQzILCAAQgAQQsQMQgwEyBQgAEIAEMgUIABCABDIICAAQgAQQsQMyBQgAEIAEMgUIABCABDIECAAQAzoLCAAQsQMQgwEQkQI6BQgAEJECOggIABCxAxCDAToHCAAQsQMQQ1DIkwFYzqABYL2iAWgAcAB4AIABQYgBpwWSAQIxM5gBAKABAcABAQ&sclient=gws-wiz-news
Michael Jordan,Sports,male,https://www.google.com/search?q=michael+jordan&biw=1536&bih=810&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=xpJCY5qkKt-bz7sP-uWpwAQ&oq=miceha&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAxgAMgoIABCxAxCDARBDMgoIABCxAxCDARBDMgQIABBDMgcIABCxAxBDMgQIABBDMgQIABBDMgQIABBDMgQIABBDMgQIABBDMgcIABCxAxBDOggIABCxAxCDAToICAAQgAQQsQM6BQgAEIAEOgsIABCABBCxAxCDAVAAWP4DYPARaABwAHgAgAFNiAHlApIBATaYAQCgAQHAAQE&sclient=gws-wiz-news
